Version;FieldName;sigla_unidade_ensino;nome_unidade_ensino;dt_autorizacao;sigla_uf_unidade_ensino;nome_municipio_unidade_ensino
2;;IFPA;Instituto Federal do Pará - Campus Breves;30/06/2010 09:38:05;PA;Breves
2;;null;INSTITUTO FEDERAL DO PARÁ CAMPUS BREVES;30/06/2010 10:15:53;PA;Breves
2;;IFPA;INSTITUTO FEDERAL DO PARÁ CAMPUS CAMETÁ;26/03/2014 16:12:40;PA;Cametá
2;;IFPA;Instituto Federal do Pará - Campus Castanhal;05/03/2009 13:57:30;PA;Castanhal
2;;IFPA;Instituto Federal do Pará - Campus Conceição do Araguaia;15/05/2009 10:07:04;PA;Conceição do Araguaia
2;;IFPA;Instituto Federal do Pará - Campus Itaituba;29/01/2010 12:45:43;PA;Itaituba
2;;null;INSTITUTO FEDERAL DO PARÁ - CAMPUS ITAITUBA;12/02/2010 11:52:48;PA;Belém
2;;IFPA;Instituto Federal do Pará - Campus Marabá Industrial;05/03/2009 14:15:45;PA;Marabá
2;;IFPA;Instituto Federal do Pará - Campus Marabá Rural;05/03/2009 14:09:42;PA;Marabá
2;;IFPA;Instituto Federal do Pará - Campus Óbidos;05/02/2014 11:16:02;PA;Óbidos
2;;IFPA;INSTITUTO FEDERAL DO PARÁ CAMPUS PARAGOMINAS;26/03/2014 16:06:13;PA;Paragominas
2;;IFPA;INSTITUTO FEDERAL DO PARÁ CAMPUS PARAUAPEBAS;31/01/2014 15:42:18;PA;Parauapebas
2;;IFPA;Instituto Federal do Pará - Campus Santarém;29/01/2010 12:39:00;PA;Santarém
2;;IFPA;Instituto Federal do Pará - Campus Tucuruí;05/03/2009 14:12:22;PA;Tucuruí
2;;IFPR;Instituto Federal do Paraná - Campus Assis Chateaubriand;01/06/2010 17:10:41;PR;Assis Chateaubriand
2;;null;INSTITUTO FEDERAL DO PARANÁ CAMPUS AVANÇADO ARAPONGAS;23/04/2019 15:20:41;PR;Arapongas
2;;IFPR;INSTITUTO FEDERAL DO PARANÁ CAMPUS AVANÇADO ASTORGA;27/01/2014 15:59:26;PR;Astorga
2;;IFPR;INSTITUTO FEDERAL DO PARANÁ CAMPUS AVANÇADO BANDEIRANTES;30/01/2014 10:46:47;PR;Bandeirantes
2;;IFPR;INSTITUTO FEDERAL DO PARANÁ CAMPUS AVANÇADO BARRACÃO;27/01/2014 16:07:42;PR;Barracão
2;;IFPR;Instituto Federal do Paraná - Campus Avançado Coronel Vivida;27/01/2014 16:14:20;PR;Coronel Vivida
2;;IFPR;INSTITUTO FEDERAL DO PARANÁ campus avançado goioerê;27/11/2014 09:39:34;PR;Goioerê
2;;IFPR;INSTITUTO FEDERAL DO PARANÁ CAMPUS AVANÇADO GOIOERÊ;17/04/2015 10:27:42;PR;Goioerê
2;;null;INSTITUTO FEDERAL DO PARANÁ CAMPUS AVANÇADO GOIOERÊ;27/01/2014 16:20:25;PR;Cascavel
2;;IFPR;INSTITUTO FEDERAL DO PARANÁ CAMPUS AVANÇADO GUAÍRA;30/01/2014 10:50:22;PR;Guaíra
2;;IFPR;INSTITUTO FEDERAL DO PARANÁ CAMPUS AVANÇADO LAPA;27/01/2014 16:52:20;PR;Lapa
2;;IFPR;INSTITUTO FEDERAL DO PARANÁ CAMPUS AVANÇADO QUEDAS DO IGUAÇU;27/01/2014 17:14:27;PR;Quedas do Iguaçu
2;;IFPR;Instituto Federal do Paraná - Campus Campo Largo;09/06/2010 14:38:15;PR;Campo Largo
2;;IFPR;INSTITUTO FEDERAL DO PARANÁ CAMPUS CAPANEMA;27/03/2013 15:09:12;PR;Capanema
2;;null;INSTITUTO FEDERAL DO PARANÁ CAMPUS CAPANEMA;27/01/2014 17:11:42;PR;Capanema
2;;IFPR;Instituto Federal do Paraná - Campus Cascavel;03/06/2010 20:38:08;PR;Cascavel
2;;null;INSTITUTO FEDERAL DO PARANÁ CAMPUS CASCAVEL;27/01/2014 16:29:24;PR;Cascavel
2;;IFPR;INSTITUTO FEDERAL DO PARANÁ CAMPUS COLOMBO;20/06/2013 14:01:50;PR;Colombo
2;;null;INSTITUTO FEDERAL DO PARANÁ CAMPUS COLOMBO;27/01/2014 16:32:19;PR;Colombo
2;;IFPR;Instituto Federal do Paraná - Campus Curitiba;05/03/2009 14:53:25;PR;Curitiba
2;;IFPR;Instituto Federal do Paraná - Campus Foz do Iguaçu;23/04/2009 15:58:35;PR;Foz do Iguaçu
2;;IFPR;Instituto Federal do Paraná - Campus Irati;01/06/2010 17:05:49;PR;Irati
2;;IFPR;Instituto Federal do Paraná - Campus Ivaiporã;01/06/2010 16:54:58;PR;Ivaiporã
2;;IFPR;Instituto Federal do Paraná - Campus Jacarezinho;01/06/2010 16:40:35;PR;Jacarezinho
2;;IFPR;INSTITUTO FEDERAL DO PARANÁ CAMPUS JAGUARIAÍVA;27/03/2013 14:40:49;PR;Jaguariaíva
2;;null;INSTITUTO FEDERAL DO PARANÁ CAMPUS JAGUARIAÍVA;27/01/2014 17:08:58;PR;Jaguariaíva
2;;IFPR;Instituto Federal do Paraná - Campus Londrina;01/06/2010 16:59:38;PR;Londrina
2;;IFPR;Instituto Federal do Paraná - Campus Palmas;01/06/2010 17:21:03;PR;Palmas
2;;IFPR;Instituto Federal do Paraná - Campus Paranaguá;23/04/2009 15:52:46;PR;Paranaguá
2;;IFPR;Instituto Federal do Paraná - Campus Paranavaí;09/06/2010 14:30:53;PR;Paranavaí
2;;null;INSTITUTO FEDERAL DO PARANÁ CAMPUS PINHAIS;27/01/2014 17:00:19;PR;Curitiba
2;;IFPR;INSTITUTO FEDERAL DO PARANÁ CAMPUS PINHAIS;27/03/2013 14:58:02;PR;Pinhais
2;;null;INSTITUTO FEDERAL DO PARANÁ CAMPUS PITANGA;27/01/2014 17:03:03;PR;Pitanga
2;;IFPR;INSTITUTO FEDERAL DO PARANÁ CAMPUS PITANGA;27/03/2013 14:53:15;PR;Pitanga
2;;IFPR;Instituto Federal do Paraná - Campus Telêmaco Borba;01/06/2010 16:50:12;PR;Telêmaco Borba
2;;IFPR;Instituto Federal do Paraná - Campus Umuarama;01/06/2010 16:27:15;PR;Umuarama
2;;IFPR;INSTITUTO FEDERAL DO PARANÁ CAMPUS UNIÃO DA VITÓRIA;27/03/2013 15:04:38;PR;União da Vitória
2;;null;INSTITUTO FEDERAL DO PARANÁ CAMPUS UNIÃO DA VITÓRIA;27/01/2014 17:05:37;PR;União da Vitória
2;;IFPI;Instituto Federal do Piauí - Campus Angical do Piauí;09/12/2009 17:28:40;PI;Angical do Piauí
2;;IFPI;INSTITUTO FEDERAL DO PIAUÍ CAMPUS AVANÇADO DIRCEU ARCOVERDE;29/01/2014 17:19:43;PI;Teresina
2;;IFPI;INSTITUTO FEDERAL DO PIAUÍ CAMPUS AVANÇADO JOSÉ FREITAS;29/01/2014 17:35:09;PI;José de Freitas
